"oid","aid","head","cont"
"472","0000019464","두산, 소속 선수 1명 폐렴 소견...2일 오전 훈련까지 취소","         [스포츠타임스=정현규 기자] 두산베어스 소속 선수 한 명이 1일 폐렴 소견을 받았다. 해당 선수는 전날 옆구리에 불편함을 느꼈다. 1일 오전 CT(컴퓨터 단층촬영) 및 MRI(자기공명영상)를 촬영하는 과정에서 폐렴 소견을 받았다. 현재 발열, 기침, 객담 등 증상은 없는 것으로 확인됐다. 선별진료소 검사를 마치고 결과를 기다리는 중이다. 두산은 훈련 취소와 함께 1군 선수단 전체에 대해 자택 대기를 결정했다. KBO의 코로나 19 대응 매뉴얼에 따라 1일 훈련 취소를 결정한 두산은 2일 오전 훈련도 취소했다. 폐렴 소견을 받은 선수의 코로나 19 검사 결과가 향후 훈련 재개에 큰 영향을 끼칠 것으로 보인다.정현규 기자 sports@thesportstimes.co.kr저작권자 ⓒ 스포츠타임스, 무단 전재 및 재배포 금지     기사제공 스포츠타임스       "
"410","0000681293","집에 홀로 덩그러니…‘사람이 그리운’ 모터의 자가격리","   매경닷컴 MK스포츠(서울 고척) 이상철 기자“딩동.” 서울 양천구 목동 한 아파트의 초인종이 울렸다. 테일러 모터(31·키움히어로즈)가 현관문을 열자 치킨 등 음식이 담긴 봉지가 놓여있다. 키움 외국인 선수의 통역을 담당하는 배문우 씨가 인터넷으로 주문한 음식이다. 이를 받아 모터는 식탁에 앉아서 식사한다. 그의 아내는 미국에 남아있다. ‘오늘도’ ‘혼밥’이다. 지난 3월 26일 입국한 모터의 일상 풍경이다. 한국 땅을 밟은 지 얼마 지나지 않아 한국야구위원회(KBO)의 자가격리 지시가 내려졌다. 신종 코로나바이러스 감염증(코로나19) 역유입 방지 차원이었다.  테일러 모터는 3월 26일 입국한 후 신종 코로나바이러스 감염증(코로나19) 예방 및 확산 방지 차원에서 2주간 자가격리 조치를 받았다. 사진=김재현 기자 27일 코로나19 검진차 병원을 방문한 거 외에는 집 밖으로 나가지 않았다. 집 안에 덩그러니 있다. 영화를 보고 휴식을 취하면서 ‘홈 트레이닝’을 한다. 땀을 흘리나 운동 기구는 제한적이다. 그래도 2주가 지나면 야구를 할 수 있다. 마냥 쉴 수는 없다. 공부도 해야 한다. 손혁 감독은 9개 구단의 주축 투수의 영상 자료를 모터에게 줬다. KBO리그에 대한 선행 학습이다. 하루에 하나씩, 그렇게 9개 영상 파일 중 5개를 꼼꼼히 봤다. 1일 통역 김상민 씨의 도움으로 진행한 영상 인터뷰에서 모터는 “kt위즈의 오드리사머 데스파이네와 KIA타이거즈의 양현종이 상당히 인상적이었다. 데스파이네는 미국에서 뛸 때부터 알던 투수다. 양현종의 뛰어난 투구는 보자마자 (대단하다는) 느낌이 오더라”며 “내가 본 게 시즌 개막 후에도 같았으면 좋겠다”라고 밝혔다. 3월 22일 이후 입국한 외국인 선수의 자가격리는 전 세계로 확산하는 코로나19 예방을 위한 선제적 대응이었다. 그러나 꼭 필요한 결정이었다. 정부도 1일부터 모든 입국자의 2주간 자가격리를 의무화했다. 다만 모터는 한국 생활이 처음이다. 키움은 2019년 12월 제리 샌즈(한신타이거스)와 재계약 무산 후 모터와 35만달러에 계약했다. 지난해 KBO리그에서 뛰었던 제이크 브리검, 에릭 요키시와 다르다. 경험이 없다. 많은 게 낯설다. 자가격리 조치도 예상하지 못했다. 모터는 “(미국 내 코로나19 사태가 심각해져서) 부랴부랴 한국에 왔으나 자가격리됐다. 많은 계획을 세우고 한국행 비행기를 탔는데 이 조치로 수정해야 했다. 답답한 게 사실이다. 그렇지만 당연히 따라야 할 조치다”라고 말했다. 유쾌한 성격에 활동적인 모터다. 옆에는 아무도 없다. 사람이 그리운 게 가장 힘들다. 이날 진행한 영상 인터뷰에서 그는 해맑게 웃으며 “대화를 나눠서 정말 기분이 좋고 즐겁다. 하고 싶은 말이 많았다”라며 반가워했다.  자가격리 중인 테일러 모터가 1일 취재진과 영상 인터뷰를 가졌다. 사진(서울 고척)=이상철 기자 모터는 ‘미식가’다. 맛집을 찾아다니는 건 그의 취미 중 하나다. 모터는 “(한국에 온 뒤) 치킨, 삼겹살 등 음식을 먹었다. 라면도 직접 끓여 먹었는데 내 입맛에 맞더라”며 웃었다. 그렇지만 ‘맛의 신세계’를 경험하지 않았다. 아직 한국 음식을 제대로 맛보지 않았다. 자가격리로 그는 집 주변에 어떤 음식점이 있는지도 모른다. 하나씩 맛보고 싶은 생각이 가득하다. 한국 음식만큼 한국 야구에 대한 궁금증도 크다. 몸이 근질근질하다. 3월 6일 대만에서 1·2군 연습경기를 뛴 게 마지막 실전이었다. 한 달이 지나간다. 2주의 시간은 입국 다음 날부터 ‘카운트’를 한다. 즉, 오는 10일부터 키움 외국인 선수 삼총사는 고척스카이돔에서 야구를 할 수 있다. 모터는 “2주가 지나면 된다. 하루빨리 야구를 하고 경기를 뛰고 싶다”라며 의욕을 보였다. rok1954@maekyung.com▶ 아이돌 B컷 사진 모음전▶ 클릭 핫! 뉴스[ⓒ MK스포츠, 무단전재 및 재배포 금지]     기사제공 MK스포츠       현장에서 작성된 기사입니다.   "
"108","0002853017","두산 베어스, 얼마나 알아? 뼛속까지 털었다 '2020 뎁스차트'","   [스타뉴스 한동훈 기자] 2020 두산 베어스 뎁스차트. /사진=브레인스토어두산 베어스 팬들을 위한 2020 두산베어스 뎁스차트가 출간됐다.출판사 브레인스토어는 ""이 책은 기존 스카우팅 리포트와는 다르게 깊이 있고 자세하게 선수들을 살펴보고 있다. 포지션별 스타팅 라인업부터 백업 순위별로 구단이 가용할 수 있는 모든 범위의 선수들 이야기를 최대한 밀도 있게 전달하고자 했다""고 설명했다.초보 두산 팬이라면 반드시 알아야 할 정보부터 열성 팬들조차 몰랐던 꿀팁까지 담았다. 2010년 이후 주요 사건을 모두 정리했다. 관객에서 볼 수 없는 야구장 안 미지의 공간도 그렸다. 2019시즌 리뷰와 함께 2020시즌도 전망한다. 예상 라인업과 선발 로테이션, 키 플레이어까지 올 시즌 두산을 미리 만난다. 저자가 2020시즌 스프링캠프에서 만난 이영하, 유희관, 김재환 등 스타플레이어 인터뷰도 담겼다.'페르난데스의 스페인어 교실', '유희관의 스포츠 재능은 어디까지?' 등 이 책에서만 볼 수 있는 콘텐츠도 눈길을 끈다.저자 나유리는 중앙대학교 국어국문학과를 졸업해 스포츠기자의 길에 들어섰다. 2013년 엑스포츠뉴스에서 시작해 2016년부터 스포츠조선 스포츠팀 기자로 현장에서 활동하고 있다.한동훈 기자 dhhan@mtstarnews.com▶ 스타뉴스 단독▶ 생생 스타 현장  ▶ 스타 인기영상  저작권자 ⓒ &lsquo;리얼타임 연예스포츠 속보,스타의 모든 것&rsquo; 스타뉴스, 무단전재 및 재배포 금지     기사제공 스타뉴스       "
"032","0003001335","리그 축소 ‘현실’ 돼가는데 …“KBO는 아직 ‘계획’이 없구나”","   ㆍ‘5월5일 유력’ 개막 더 늦어지면 선수 연봉 등 논란 일 듯ㆍMLB는 삭감 지급·FA제도 보완책 등 선수노조와 합의ㆍKBO “축소안 확정되면 여러 문제 다각도 검토” 입장만1일 프로야구 두산의 한 선수가 폐렴 증세를 보이면서 이날 오후 잠실구장에서 예정됐던 선수단 훈련 일정이 취소됐다. 해당 선수는 선별진료소에서 코로나19 검사를 마치고 결과를 기다리고 있다.   연합뉴스KBO리그 개막 예정일이 또다시 늦춰진 가운데 리그 축소 가능성이 현실로 다가왔다. 현재 예정인 5월 초에 개막이 이뤄지지 않으면 리그를 축소해야 한다. 리그 축소 운영에 대한 경기적 준비는 진행 중이지만 정규시즌 경기 외적 문제들에 대한 논의는 아직 제대로 이뤄지지 않고 있다. KBO는 지난달 31일 실행위원회를 열고 무관중 연습경기를 당초 7일 이후에서 21일 이후로 늦추기로 했다. 현재로서 정규시즌 개막은 5월5일이 될 가능성이 높다. KBO 정금조 운영본부장은 “날씨를 포함해 여러 가지 상황을 고려할 때 11월20일까지는 포스트시즌이 끝나야 한다고 본다”며 “포스트시즌 종료 마지노선을 두고 역산하면 5월 초에는 개막이 이뤄져야 한다”고 말했다. 개막이 더 늦춰지면 리그 축소가 불가피하다는 뜻이다. KBO는 팀당 9경기씩 줄이는 135경기 방안부터 36경기씩 축소하는 108경기 방안까지 다양한 가능성을 열어두고 예상되는 문제점을 살피고 있다. 이들 안은 4월14일 열리는 KBO 이사회에서 적극 검토될 예정이다. 시즌이 축소될 경우 발생할 문제점은 한두 가지가 아니다. 메이저리그는 시즌 축소 및 취소에 대비해 연봉 축소 지급, FA 자격을 위한 서비스 타임 결정, 신인 드래프트 시점, 순위 결정 방식 등에 대해 일찌감치 선수노조와 합의했다. KBO와 프로야구선수협회는 아직 이들 문제에 대한 협상을 시작하지 않았다. 당초 잠잠해질 것 같던 코로나19 사태가 길어지면서 논의가 늦어졌다. 특히 연봉 문제는 민감하다. 메이저리그는 도널드 트럼프 대통령이 국가비상사태를 선언하는 순간 스프링캠프 해산을 결정했다. 캠프 해산은 단지 건강 문제를 넘어 연봉 지급 축소의 근거가 된다.  리그 규약에도 ‘국가비상사태’의 경우 커미셔너가 계약 수행 관련 결정을 내릴 수 있다고 돼 있다. 연봉 지급을 중단할 수 있다는 뜻이다.KBO리그는 코로나19 위기대응 단계가 ‘심각’이 됐을 때 특별한 변화가 없었다. 스프링캠프를 시작으로 여전히 소집 훈련이 진행 중이기 때문에 ‘활동기간’이 인정돼 연봉이 지급되는 중이다. 미리 합의하지 않으면 시즌 축소에 따른 연봉 지급 규모를 두고 논란이 벌어질 수 있다. KBO리그 규약에는 국가비상사태에 대한 특별한 규정이 없다. 수도권 구단의 한 단장은 “만약 1경기도 못 치르고 취소되더라도 연봉을 다 지급해야 할 수도 있다. 이 경우 모기업으로부터 지원을 받는 데 심각한 어려움이 예상된다. 이듬해 연봉이 대폭 삭감될 수밖에 없다”고 말했다. 연봉뿐만 아니라 리그 일정 변화에 따른 FA 등록 일수 산정, 드래프트 날짜, 트레이드 마감시한, 엔트리 변경 시점 등 해결해야 할 문제가 많다. 샐러리캡, FA제도 변화 등 제도 변경안 처리에 대한 전례를 고려하면 원만한 논의가 쉽지 않아 보이지만, 코로나19라는 초유의 사태는 오히려 적극적 합의를 이끌어낼 여지가 있다.KBO 정금조 운영본부장은 “일단 축소안이 확정되면 여러 문제를 다각도로 검토할 예정”이라고 말했다. 선수협회 김태현 사무총장은 “지금은 국가적 재난을 해결하는 것이 최우선 과제”라고 말했다.이용균 기자 noda@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기&#169;경향신문(www.khan.co.kr), 무단전재 및 재배포 금지     기사제공 경향신문       "
"108","0002853008","[훈구쇼] 강백호 1루수 변신, 이강철 감독은 몇 수 앞을 내다보나 (영상)","   [스타뉴스 한동훈 기자] /그래픽=김혜림 기자KT 위즈 간판타자 강백호(21)가 1루수를 준비한다. 투수와 포수, 외야수, 그리고 1루수까지? 강백호의 '초능력' 한계는 어디인가. 팬들의 기대가 커지고 있다.이강철(54) KT 감독이 '1루수 강백호' 카드를 꺼낸 진짜 이유는 무엇일까. 급부상한 중견수 유망주 배정대(25), 그리고 기존 1루수 오태곤(29)의 운명은? 이강철 감독이 과연 어디까지 내다보고 있는지 '훈구쇼'를 통해 알아보자.한동훈 기자 dhhan@mtstarnews.com▶ 스타뉴스 단독▶ 생생 스타 현장  ▶ 스타 인기영상  저작권자 ⓒ &lsquo;리얼타임 연예스포츠 속보,스타의 모든 것&rsquo; 스타뉴스, 무단전재 및 재배포 금지     기사제공 스타뉴스       "
"109","0004187039","‘청백전 해설’ 손혁 감독 “선수에게 하고 싶은 말 할 때도 있죠” [고척 톡톡]","     [OSEN=고척, 곽영래 기자]손혁 감독와 박병호가 이야기를 나누고 있다. /youngrae@osen.co.kr [OSEN=고척돔, 길준영 기자] 키움 히어로즈 손혁 감독이 선수들에게 하고 싶은 이야기를 전달하는 다양한 방법을 소개했다.손혁 감독은 지난달 31일 서울 고척스카이돔에서 진행한 청백전에서 구단 자체 중계 해설위원으로 잠시 등장했다. 7회부터 9회까지 마이크를 잡아 팬들과 다양한 이야기를 주고 받으며 소통하는 시간을 가졌다. 과거 해설위원으로 활동했던 경력이 있는 만큼 매끄러운 중계를 이어갔다.대만 스프링캠프에서도 종종 경기 해설을 맡았던 손혁 감독은 1일 고척돔에서 진행된 팀 훈련 후 인터뷰에서 &ldquo;만약 7일부터 팀간 연습경기가 시작했다면 해설을 안했을거다. 하지만 연습경기도 미뤄지고 팬들이 야구에 갈증을 느끼고 있어서 잠시 중계석에 들어갔다&rdquo;면서 &ldquo;사실 선수들이 들을까봐 해설중에 안좋은 이야기는 잘 하지 않는다&rdquo;며 웃었다.그렇지만 가끔씩은 이런 자리가 정말로 선수들에게 하고 싶은 말은 전하는 기회가 되기도 한다. 손혁 감독은 &ldquo;종종 선수에게 직접 이야기하는 것보다 해설 같이 공적인 자리에서 이야기하는게 더 효과적일 때도 있다. 선수들이 이렇게 미디어에서 듣는 이야기는 좀 더 객관적으로 받아들이기도 한다&rdquo;고 설명했다.이어서 손혁 감독은 &ldquo;가끔씩은 선수에게 하고 싶은 말을 기사를 통해 말할 때도 있다&rdquo;고 말했다. 한현희의 선발 경쟁이 대표적인 사례다.&nbsp;손혁 감독은 올 시즌 선발전환에 도전하는 한현희를 5선발로 내정했다. 하지만 공식 인터뷰에서는 언제나 확정은 아니라고 강조한다. 선발 경쟁을 하는 신재영과 김동준에게 동기부여를 하는 동시에, 한현희도 계속 긴장감을 유지하게 하기 위함이다.한현희는 &ldquo;감독님 인터뷰 기사를 찾아보면 항상 선발 확정이라고는 말씀하지 않으신다&rdquo;면서 마음을 놓지 않고 시즌을 잘 준비하겠다고 말했다.손혁 감독은 &ldquo;SK 와이번스에서 투수코치로 있을 때 힐만 감독님이 미팅을 할 때 최소한 한 번씩은 시뮬레이션을 하고 들어가라고 조언하셨다. 그 때부터 미팅을 할 때 꼼꼼히 준비를 했고, 효과가 좋았다&rdquo;면서 선수들을 대하는 자세의 중요성을 강조했다. /fpdlsl72556@osen.co.kr&nbsp;     기사제공 OSEN      현장에서 작성된 기사입니다.   "
"472","0000019461","KIA타이거즈, 2020시즌 팬북 2만부 발간","         [스포츠타임스=정현규 기자] KIA타이거즈가 2020시즌 팬북 2만부를 발간했다. 올 시즌 팬북 컨셉은 '우승 반지를 향한 위대한 여정'으로, 표지는 강렬한 호랑이 이미지로 장식했다. 용맹한 호랑이가 발걸음을 내딛는 모습을 강조해 명예회복을 향해 전진하는 KIA타이거즈 선수단의 굳은 의지를 드러냈다. 팬북은 선수들의 역동적인 플레이 모습을 강조하기 위해 A4 사이즈의 화보로 구성됐다. 화보와 함께 다양한 테마의 인터뷰가 실려 읽을거리가 풍성하다. 우선 지난 시즌 결산과 올 시즌 전망을 비롯해 윌리엄스 감독의 출사표가 소개되고, 메이저리그 출신인 서재응, 최희섭 코치의 포부도 담겼다. 지난 시즌 활약이 돋보였던 문경찬, 박찬호, 전상현 와이드 인터뷰를 비롯해, 이적 후 눈부신 활약을 펼친 이창진, 유민상과 새 식구가 된 홍상삼의 이야기도 실렸다. 이어 올 시즌 KIA타이거즈 유니폼을 입게 된 외국인 선수 애런 브룩스, 드류 가뇽, 프레스턴 터커가 팬북을 통해 팬들에게 인사를 전한다. 팬이 보낸 응원 메시지에 대한 선수들의 답장이 담겼고, 팬이 직접 꾸민 '내 선수 프로필' 등 팬과 함께 하는 콘텐츠도 팬북을 알차게 만들었다. 이밖에 육성 요람이 될 챌린저스 필드 2구장 개장 소식과 챔피언스 필드 푸드 지도, KIA타이거즈 응원단 소개 등으로 구성됐다. 올해 발간된 팬북은 1만 원에 케이엔코리아 타이거즈 온라인숍에서 판매된다. 광주-기아 챔피언스 필드 내 타이거즈숍에서도 구입할 수 있다.정현규 기자 sports@thesportstimes.co.kr저작권자 ⓒ 스포츠타임스, 무단 전재 및 재배포 금지     기사제공 스포츠타임스       "
"410","0000681287","롯데, 3차 청백전…마차도 홈런 포함 3안타 맹타","   매경닷컴 MK스포츠 안준철 기자롯데 자이언츠 자체 청백전에서 외국인타자 딕슨 마차도가 맹활약됐다.롯데는 1일 오전 11시 50분 김해 상동구장에서 열린 3번째 국내 3차 청백전을 진행했다. 경기는 6회 약식 경기로 치러졌고 원정팀은 아드리안 샘슨, 홈팀은 노경은이 선발 등판했다. 원정팀의 6-1 승리로 마무리됐다.이날 두드러진 활약을 보인 이는 원정팀 1번 유격수로 나선 마차도다. 마차도는 홈런 포함 3안타 1타점 2득점으로 맹활약했다. 이 밖에 한동희, 정훈, 김민수, 김동한이 1안타씩 기록했다. 샘슨은 4이닝 동안 55개의 공을 던지며 2피안타 4탈삼진 무실점을 기록했다. 롯데 자이언츠의 외국인 타자 딕슨 마차도. 사진=롯데 자이언츠 제공 홈팀은 6번 중견수로 출전한 강로한이 홈런 포함 2안타 1타점 1득점 1도루를 기록했다. 3번 3루수로 선발 출전한 신본기도 멀티히트 경기를 만들었다. 노경은은 3이닝 4피안타 2사사구 1탈삼진 3실점했다.경기 후 허문회 감독은 “젊은 선수부터 베테랑 선수까지 페이스를 올리는 중이다. 개막 연기에도 관리가 잘 이뤄지고 있어 만족스럽다”라고 소감을 전했다. jcan1231@maekyung.com▶ 아이돌 B컷 사진 모음전▶ 클릭 핫! 뉴스[ⓒ MK스포츠, 무단전재 및 재배포 금지]     기사제공 MK스포츠        "
"468","0000643492","베테랑 분석원 노석기 팀장 ""트래킹 데이터는 또다른 언어""[SS TALK]","   LG 노석기 데이터분석 팀장이 지난 2월 호주 스프링캠프에서 최일언 투수코치와 트래킹 데이터를 확인하고 있다. | LG 트윈스 제공[스포츠서울 윤세호기자] LG 노석기 데이터분석 팀장은 김정준 해설위원과 함께 한국야구 전력분석의 시초다. 1990년대 중반, 당시만 해도 마냥 생소했던 전력분석원으로 활동한 그는 늘 소속팀에서 없어서는 안 되는 존재로 자리매김했다. 1990년대 LG가 황금기를 보내는 데 힘을 보탠 것은 물론 2007년부터 2010년까지 SK가 왕조를 세우는 데에도 큰 역할을 했다. 2011년 11월 친정팀인 LG로 돌아온 노 팀장은 지난해부터 트래킹 데이터 열풍에 합류해 최점단 장비를 활용한 분석에 매진하고 있다.어느덧 선수들의 동작 하나하나가 수치로 드러나는 시대다. 투수가 던진 모든 공의 회전수와 상하좌우 움직임은 물론 투수의 익스텐션(축발의 뒷부분부터 공을 던지는 손의 끝부분까지 거리)도 매순간 측정된다. 타자가 친 타구도 마찬가지다. 히팅포인트가 어디서 이뤄졌고 타구 회전의 방향과 속도, 임팩트시 각도까지 실시간으로 표시된다. LG는 지난해부터 트래킹 장비인 트랙맨을 1·2군에 모두 도입하며 첨단 데이터 활용을 본격화했다. 기존에 있던 전력분석팀을 데이터분석팀으로 통합하고 데이터분석팀에 트래킹 데이터 전문가를 꾸준히 영입하고 있다.노 팀장은 이러한 흐름에 대해 “사실 예전부터 트래킹 데이터에 대한 관심은 있었다. 하지만 지난해 막상 접하고 나니 정말 어마어마하게 많은 숫자들이 나열되더라”며 “과거 전력분석 방식으로는 내가 베테랑이 맞다. 하지만 트래킹 데이터에서 나는 초보다. 늘 배운다는 마음으로 트래킹 데이터를 연구하고 선수들에게 전달하고 있다”고 말했다. 노 팀장이 바라본 트래킹 데이터의 장점은 막연함 혹은 주관적인 느낌을 객관적이고 구체화했다는 것이다. 그는 “예전에는 흔히 투수의 ‘공이 지저분하다’, ‘마지막에 차고 들어온다‘, ‘무겁다’는 표현을 많이 썼다. 그러나 막상 투수나 포수의 느낌과 타자가 접하는 느낌은 또 다른 경우가 많았다”며 “이제는 트래킹 데이터를 통해 이전보다 공의 느낌을 구체적으로 전달할 수 있게 됐다. 회전수, 무브먼트, 익스텐션을 통해 객관적으로 설명할 수 있다”고 밝혔다.물론 여전히 데이터가 모든 것을 완벽하게 전달하지는 못한다. 트래킹 데이터도 마찬가지다. 노 팀장은 “개인적인 생각이지만 아직 트래킹 데이터는 완성단계라고 보기 힘들다. 현재 시작단계에서 중간단계로 전환하는 과정이라고 본다”며 “종종 선수들이 공통적으로 느끼는 것과 트래킹 데이터가 반대로 나타나는 경우도 있다. 우리 팀 김대현의 경우 패스트볼이 우타자 몸쪽으로 움직이면서 들어온다. 포수와 김대현을 상대하는 타자들 모두 이 부분을 높게 평가하는데 막상 트래킹 데이터로는 이러한 장점이 잘 나타나지 않는다. 회전수와 무브먼트에 있어 김대현의 패스트볼은 특별함이 나타나지 않고 있다”고 설명했다.그래서 정리와 이해가 필요하다. 노 팀장은 트래킹 데이터를 “또다른 언어”라고 정리하며 분석원과 지도자, 선수 모두에게 공부 혹은 과정이 있어야 한다고 힘줘 말했다. 이는 LG가 올해 스프링캠프부터 항상 포터블 트랙맨과 랩소도를 선수들 옆에 배치한 이유이기도 하다. 노 팀장은 “모든 데이터가 그렇듯 하나의 기준만 맹신해서는 안 된다”면서도 “그러나 트래킹 데이터가 우리에게 전달하는 부분이 많은 것은 확실하다. 시간을 두고 거울이 진화했고 각자의 모습을 선명하게 바라보게 된 것처럼 트래킹 데이터로 야구도 점점 더 뚜렷해지고 있다. 그런데 트래킹 데이터를 이해하기 위해선 마치 새로운 언어를 배우는 것과 같은 과정이 필요하다. 그래서 선수들이 한 번이라도 더 보면서 트래킹 데이터에 친숙해지도록 캠프 내내 트래킹 장비를 가동했다”고 설명했다. LG는 현재 진행 중인 잠실구장 훈련시에도 타석에는 랩소도, 불펜에는 포터블 트랙맨을 설치해 가동하고 있다. 캠프 기간에는 선수들이 삼삼오오 모여 트래킹 데이터를 두고 논의하는 시간도 가졌다.LG 선수들이 지난 2월 호주 스프링캠프 중 모여서 트래킹 데이터를 두고 논의하고 있다. | LG 트윈스 제공이러한 과정 속에서 LG 선수단의 트래킹 데이터에 대한 이해도는 부쩍 높아졌다. 트래킹 데이터 선호도가 높은 젊은 선수들은 물론 베테랑 코치들까지 나란히 트래킹 데이터를 바라보고 논의한다. 노 팀장은 “지난해까지만 해도 최일언 코치님은 ‘너무 자세하게 하나하나 나오는 거 아닌가. 캠프에서는 선수들 컨디션도 안 올라왔는데 부담될 수 있다’는 입장이셨다. 그러나 이제는 트래킹 데이터 숫자를 모두 이해하고 계시고 찾아보신다”며 “선수들은 물론 코치님들에게도 트래킹 데이터가 우리 팀에서 언어로 정착하고 있다”고 말했다.마지막으로 그는 “사실 전력분석원 입장에서는 지금처럼 많은 데이터가 나오는 게 부담이 된다. 데이터가 많아질수록 분석원은 좋은 결과물을 만들어야 한다. 시대에 적응하고 발전하며 더 나은 결과를 내야한다”면서도 “그래서 꾸준히 데이터분석팀을 확장하고 있다. 예전처럼 두세 명이 전력분석을 할 수 있는 시대가 아니다. 수많은 데이터 속에서 선수들과 지도자의 니즈에 맞출 수 있도록 늘 연구해야만 한다”고 다짐했다. bng7@sportsseoul.com[기사제보 news@sportsseoul.com]  Copyright ⓒ 스포츠서울&sportsseoul.com     기사제공 스포츠서울      현장에서 작성된 기사입니다.   "
"076","0003549670","[SC현장리포트]옆구리 아팠는데 폐렴 진단…두산 선수단, 세번째 훈련 중단","   두산 베어스 선수단이 31일 잠실구장에서 자체 청백전을 가졌다. 청팀이 2대1로 승리했다. 경기 종료 후 김태형 감독이 선수단과 미팅을 갖고 있다. 잠실=허상욱 기자 wook@sportschosun.com/2020.03.31/[잠실=스포츠조선 나유리 기자]두산 베어스의 훈련 취소는 벌써 세 번째다. 두산은 지난달 8일 스프링캠프를 마치고 귀국해 잠실구장에서 자체 훈련을 이어가고 있다. 타팀과 마찬가지로 청백전과 단체 훈련, 개인 훈련 등의 패턴으로 개막을 기다리는 중이다.3월 31일 청백전을 실시한 두산은 1일 오후 12시20분부터 훈련이 예정돼 있었다. 하지만 12시20분이 지나도록 선수들이 더그아웃과 그라운드에 모습을 비추지 않았고, 두산 구단이 12시30분 훈련 취소 소식을 알려왔다. 취소 이유는 소속 선수 A의 폐렴 진단 때문이다. 잠실에서 훈련 중이던 A는 31일 훈련이 끝난 후 옆구리에 불편함을 느꼈다. 해당 선수는 훈련 도중 옆구리 근육에 문제가 생겼다고 판단하고 1일 오전 병원을 찾아 CT와 MRI 정밀 검진을 받았다. 그런데 근육 부상이 아닌 폐렴 진단이 나왔다. 폐렴은 발열, 인후통, 기침 등과 함께 코로나19의 감염 증상 중 하나이기도 하다. 다만 A는 발열이나 기침 등 그외 호흡기 증상이 전혀 없는 상황이다. 그래도 정확한 상태를 살필 필요가 있어 1일 선별진료소를 찾아 코로나19 검사를 마치고 결과를 기다리고 있다. 두산은 1일 예정됐던 훈련을 취소했다. 야구장에 출근했던 선수들은 구단으로부터 취소 소식을 듣고 다시 집으로 돌아갔다. 검사 결과가 나올 때까지는 자택 대기를 해야한다. 두산은 2일 오전에도 잠실에서 팀 훈련이 예정돼 있었지만 이 역시 취소했다. 원래 휴식일인 3일까지 쉬기로 했다.두산은 지난달 16일 키움 히어로즈에서 발열 증세를 보인 선수가 나오면서, 귀국 항공편에 함께 탑승했던 두산 2군 선수들을 감안해 1,2군 전체 훈련을 취소했다. 지난달 24일에는 소속 선수 가족 중 한 명이 확진자와 접촉한 것이 알려지며 훈련을 취소했었다. 혹시 모를 상황에 대비해 빠른 대처를 해왔다. 다행히 앞선 두번의 훈련 취소때는 발열 증세를 보였던 키움 선수 그리고 두산 선수의 가족이 '음성' 판정을 받으며 안도할 수 있었다. 이번에도 두산 구단과 선수단은 큰일 없이 지나가기를 바라고 있다.잠실=나유리 기자 youll@sportschosun.com▶무료로 알아보는 나의 운명의 상대▶눈으로 보는 동영상 뉴스 핫템- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지     기사제공 스포츠조선      현장에서 작성된 기사입니다.   "
