"name","id","x","y","addr"
"만동제과","s1038526987","126.9272936","37.5615428","서울특별시 서대문구 창천동 448"
"파이홀","s21306384","126.9350632","37.5570516","서울특별시 서대문구 창천동 57-61"
"비밀","s36271566","126.9431482","37.5585299","서울특별시 서대문구 대현동 27-46"
"마더린러 베이글","s37637684","126.9453951","37.5583074","서울특별시 서대문구 대현동 56-23"
"고르드","s35563009","126.9371501","37.5584437","서울특별시 서대문구 창천동 31-15"
"베어스덴 브런치카페","s942180032","126.9277993","37.5616383","서울특별시 서대문구 창천동 441 1층 베어스덴"
"카페미뇽","s1852209409","126.9363916","37.5560587","서울특별시 서대문구 창천동 30-45 1~5층"
"벤치 커피 스튜디오","s1053431120","126.9423021","37.5578041","서울특별시 서대문구 대현동 104-18 2층"
"랭스터디카페 이대점","s1721035859","126.9458739","37.5588802","서울특별시 서대문구 대현동 60-9"
"waffle it up","s12010847","126.9433811","37.5582405","서울특별시 서대문구 대현동 27-17"
"원앤온리커피","s1507115682","126.9438420","37.5586073","서울특별시 서대문구 대현동 37-7"
"그릭데이","s37648608","126.9439607","37.5595954","서울특별시 서대문구 대현동 34-40"
"리히트","s35751361","126.9278341","37.5616366","서울특별시 서대문구 창천동 441 리히트"
"카페 카프카","s1594853735","126.9393625","37.5584306","서울특별시 서대문구 창천동 5-43"
"내사랑","s1535681726","126.9479916","37.5575186","서울특별시 서대문구 대현동 67-80"
"클로리스 신촌본점","s13073862","126.9387460","37.5577690","서울특별시 서대문구 창천동 13-35"
"카페비멜로우","s1143000576","126.9321595","37.5572133","서울특별시 서대문구 창천동 112-26 1층"
"에이투지 카페","s13573308","126.9384843","37.5575517","서울특별시 서대문구 창천동 13-42"
"마이헬싱키카페","s1150413841","126.9485012","37.5572063","서울특별시 서대문구 대현동 67-5"
"몰리스","s36601195","126.9343893","37.5569620","서울특별시 서대문구 창천동 62-21"
"보드게임카페 레드버튼 신촌점","s1058744939","126.9370245","37.5562324","서울특별시 서대문구 창천동 18-31 3층"
"카페 카페","s18747370","126.9381750","37.5590500","서울특별시 서대문구 창천동 2-14"
"티앙팡 오후의 홍차","s11570104","126.9460408","37.5582388","서울특별시 서대문구 대현동 54-28"
