"날짜","종가","전일비","시가","고가","저가","거래량"
"2020.02.25",3745,5,3700,3825,3650,788657
"2020.02.24",3750,220,3820,3940,3750,1232576
"2020.02.21",3970,30,3910,4070,3900,990075
"2020.02.20",4000,5,4000,4065,3955,891036
"2020.02.19",4005,35,4040,4060,3880,895691
"2020.02.18",4040,45,3985,4100,3970,1686156
"2020.02.17",3995,25,4060,4120,3960,1412700
"2020.02.14",4020,15,4055,4110,3905,1724810
"2020.02.13",4035,85,4005,4390,3900,10282912
"2020.02.12",3950,140,3830,3975,3830,944530
"2020.02.11",3810,5,3830,3905,3755,713182
"2020.02.10",3805,230,3640,3865,3620,1515774
"2020.02.07",3575,60,3515,3575,3470,251022
"2020.02.06",3515,55,3470,3530,3460,281176
"2020.02.05",3460,25,3485,3515,3380,329157
"2020.02.04",3485,105,3380,3495,3365,423511
"2020.02.03",3380,115,3175,3385,3110,613998
"2020.01.31",3265,80,3325,3445,3250,620170
"2020.01.30",3345,160,3500,3500,3320,542737
"2020.01.29",3505,20,3530,3555,3425,661172
"2020.01.28",3525,325,3705,3750,3460,1393736
"2020.01.23",3850,65,3795,3850,3670,645643
"2020.01.22",3785,145,3980,3980,3760,859493
"2020.01.21",3930,5,3940,4035,3905,771002
"2020.01.20",3935,165,4120,4145,3860,964252
"2020.01.17",4100,60,4050,4100,4020,470462
"2020.01.16",4040,35,4100,4130,3985,587203
"2020.01.15",4005,25,4060,4060,3950,321139
"2020.01.14",4030,60,3980,4045,3925,532307
"2020.01.13",3970,130,4100,4220,3935,1141119
"2020.01.10",4100,20,4090,4140,4035,528900
"2020.01.09",4080,265,3930,4115,3925,1428004
"2020.01.08",3815,200,4015,4020,3725,1312515
"2020.01.07",4015,50,4000,4045,3970,506005
"2020.01.06",3965,5,4010,4010,3935,482789
"2020.01.03",3960,15,3945,3975,3890,528079
"2020.01.02",3945,65,3930,3990,3865,853261
"2019.12.30",3880,190,3700,3880,3700,927305
"2019.12.27",3690,30,3650,3725,3625,320618
"2019.12.26",3660,30,3680,3710,3640,296705
"2019.12.24",3630,0,3615,3650,3610,189974
"2019.12.23",3630,5,3625,3675,3585,251926
"2019.12.20",3625,95,3545,3650,3530,574925
"2019.12.19",3530,75,3455,3540,3405,365378
"2019.12.18",3455,85,3565,3570,3445,363490
"2019.12.17",3540,10,3525,3580,3520,171767
"2019.12.16",3550,15,3615,3615,3535,229258
"2019.12.13",3565,60,3520,3610,3520,310931
"2019.12.12",3505,5,3510,3530,3470,164932
"2019.12.11",3500,20,3480,3520,3465,153483
"2019.12.10",3480,30,3510,3565,3465,473036
"2019.12.09",3510,155,3665,3690,3450,1335249
"2019.12.06",3665,35,3690,3730,3610,1116420
"2019.12.05",3700,200,3535,3770,3510,3326613
"2019.12.04",3500,5,3490,3530,3455,284365
"2019.12.03",3495,70,3400,3500,3340,349934
"2019.12.02",3425,15,3440,3470,3415,102608
"2019.11.29",3440,15,3440,3510,3400,182507
"2019.11.28",3455,25,3465,3540,3450,166981
"2019.11.27",3480,5,3475,3510,3445,154989
"2019.11.26",3475,25,3550,3550,3465,175481
"2019.11.25",3500,130,3410,3505,3410,387841
"2019.11.22",3370,5,3375,3480,3335,390636
"2019.11.21",3375,105,3475,3480,3320,333308
"2019.11.20",3480,80,3520,3580,3440,324251
"2019.11.19",3560,15,3525,3580,3500,242943
"2019.11.18",3545,130,3440,3550,3415,511917
"2019.11.15",3415,5,3430,3450,3395,134291
"2019.11.14",3420,10,3410,3470,3370,191122
"2019.11.13",3410,20,3405,3445,3360,182868
"2019.11.12",3430,5,3420,3470,3400,173738
"2019.11.11",3435,35,3370,3450,3345,202243
"2019.11.08",3400,60,3495,3495,3390,261113
"2019.11.07",3460,15,3445,3515,3420,432725
"2019.11.06",3445,25,3420,3460,3400,265299
"2019.11.05",3420,60,3460,3460,3400,402517
"2019.11.04",3480,20,3500,3505,3435,460872
"2019.11.01",3460,110,3350,3480,3330,652795
"2019.10.31",3350,50,3435,3485,3315,712284
"2019.10.30",3400,85,3315,3410,3315,513590
"2019.10.29",3315,5,3330,3370,3300,297734
"2019.10.28",3310,80,3245,3320,3210,302154
"2019.10.25",3230,5,3240,3260,3210,142970
"2019.10.24",3225,50,3165,3260,3165,225056
"2019.10.23",3175,60,3235,3270,3175,233868
"2019.10.22",3235,10,3285,3285,3225,201378
"2019.10.21",3245,40,3310,3340,3210,350561
"2019.10.18",3285,40,3290,3350,3250,612429
"2019.10.17",3245,75,3150,3270,3135,559718
"2019.10.16",3170,35,3125,3175,3110,229872
"2019.10.15",3135,30,3105,3135,3095,174830
"2019.10.14",3105,55,3080,3125,3040,312943
"2019.10.11",3050,10,3045,3095,3045,224751
"2019.10.10",3040,65,3070,3105,3020,333997
"2019.10.08",3105,5,3070,3125,3050,228543
"2019.10.07",3100,80,3165,3200,3085,362829
"2019.10.04",3180,20,3165,3210,3160,234656
"2019.10.02",3200,5,3165,3240,3165,221764
"2019.10.01",3205,30,3155,3215,3155,275232
"2019.09.30",3175,115,3260,3300,3150,467281
