"번호","매장명","전화번호"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
"554","군산선유도",""
"553","대전둔산로","042-472-0376"
"552","벌곡휴게소(상)",""
"551","오송역사",""
"550","인천공항 T1 1F","032-743-2361"
"549","와촌휴게소","053-853-1002"
"548","세종시청","044-867-4953"
"547","한국도로공사본사","054-434-0923"
"546","목포케이블카북항","061-242-0311"
"545","롯데시네수지","031-5174-4803"
